component,strategy,run,target_fraction,fraction,n_removed,reachable_share,reach_loss,mean_m,median_m,p90_m,p95_m
link,random,6,0.08,0.08002808002808003,228,0.7046401778271743,0.16671297582661848,1891.03873659306,2083.6850000000004,3265.9565000000007,3911.1320000000005
link,random,6,0.1,0.10003510003510004,285,0.6904695748819116,0.1808835787718811,2393.4285645875257,2479.454,4681.515,6117.277599999995
link,random,6,0.12,0.12004212004212005,342,0.6198944151153098,0.2514587385384829,2341.8584585387716,2499.617,4681.515,4681.515
link,random,6,0.14,0.14004914004914004,399,0.5209780494581828,0.3503751041956099,2122.217599466667,2208.369,4202.384600000002,4767.196
link,random,6,0.16,0.16005616005616005,456,0.4798555154209503,0.39149763823284245,2323.916017371164,2397.8399999999997,4570.809,4850.139599999999
link,random,6,0.18,0.18006318006318006,513,0.45984995832175607,0.41150319533203666,2369.6147009063443,2421.4159999999997,4679.3762000000015,5090.724399999999
link,random,6,0.2,0.20007020007020007,570,0.35204223395387607,0.5193109196999166,2124.343323599053,1742.3609999999999,5070.681800000001,5568.346
link,random,6,0.22,0.22007722007722008,627,0.3359266462906363,0.5354265073631564,2130.048319272126,1742.6370000000002,5099.4802,5568.346
link,random,6,0.24,0.2400842400842401,684,0.2964712420116699,0.5748819116421229,1884.7177104029988,1121.2720000000004,5076.708999999999,5891.5869999999995
link,random,6,0.26,0.2600912600912601,741,0.15615448735759932,0.7151986662961934,180.76598932384343,0.0,851.3570000000011,1157.1326499999986
link,random,6,0.28,0.2800982800982801,798,0.15615448735759932,0.7151986662961934,180.76598932384343,0.0,851.3570000000011,1157.1326499999986
link,random,6,0.3,0.3001053001053001,855,0.15282022784106697,0.7185329258127258,174.03128000000004,0.0,853.7250000000003,1158.173
link,random,6,0.32,0.3201123201123201,912,0.14642956376771327,0.7249235898860795,149.27772675521825,0.0,728.3440000000008,1137.3660000000004
link,random,6,0.34,0.34011934011934014,969,0.14365101417060294,0.7277021394831897,124.89384719535785,0.0,479.46220000000005,1137.3660000000004
link,random,6,0.36,0.3601263601263601,1026,0.14003889969435954,0.7313142539594332,112.30856746031748,0.0,278.57189999999906,1137.3660000000004
link,random,6,0.38,0.38013338013338016,1083,0.13003612114476243,0.7413170325090304,25.426636752136755,0.0,0.0,0.0
link,random,6,0.4,0.40014040014040014,1140,0.12864684634620727,0.7427063073075855,21.67923542116631,0.0,0.0,0.0
link,random,7,0.0,0.0,0,0.8713531536537927,0.0,1678.3658804209185,1813.3350000000003,2515.206,3245.7529999999997
link,random,7,0.02,0.020007020007020006,57,0.8574604056682412,0.013892747985551512,1876.142101425794,2038.2060000000001,3190.7849999999994,3563.884
link,random,7,0.04,0.04001404001404001,114,0.8341205890525146,0.037232564601278106,1917.5972078614257,2088.894,3190.7849999999994,3563.884
link,random,7,0.06,0.06002106002106002,171,0.7935537649347041,0.07779938871908865,1951.251618697479,2222.513,3190.7849999999994,3563.884
link,random,7,0.08,0.08002808002808003,228,0.7813281467074187,0.09002500694637405,1991.0207855618773,2313.1414999999997,3215.6449999999995,3666.4749999999995
link,random,7,0.1,0.10003510003510004,285,0.6818560711308697,0.18949708252292308,1895.333434392828,2085.784,3190.7849999999994,3451.7624
link,random,7,0.12,0.12004212004212005,342,0.6601833842734093,0.21116976938038345,2830.2348320707074,2521.549,5737.217,5737.217
link,random,7,0.14,0.14004914004914004,399,0.512920255626563,0.3584328980272298,2690.3107258938253,2673.8889999999997,5898.318000000002,5898.318000000002
link,random,7,0.16,0.16005616005616005,456,0.49930536260072245,0.3720477910530703,2794.028435169728,3009.6669999999995,5898.318000000002,5898.318000000002
link,random,7,0.18,0.18006318006318006,513,0.3762156154487358,0.49513753820505696,2199.1108663220093,1792.2435,4800.4540000000015,5359.938
link,random,7,0.2,0.20007020007020007,570,0.3217560433453737,0.549597110308419,1892.6256018998274,1137.3660000000004,4549.079300000001,5007.879000000001
link,random,7,0.22,0.22007722007722008,627,0.29397054737427064,0.5773826062795221,1775.9465359168244,1010.4845,4339.818000000001,4843.738149999999
link,random,7,0.24,0.2400842400842401,684,0.243123089747152,0.6282300639066407,1387.5231200000003,0.0,4026.6419999999994,4339.818000000001
link,random,7,0.26,0.2600912600912601,741,0.18977493748263408,0.6815782161711587,767.6499267935578,0.0,3583.823400000001,4213.3514
link,random,7,0.28,0.2800982800982801,798,0.1783828841344818,0.692970269519311,726.5973722741434,0.0,3569.8867,4138.72185
