component,strategy,target_fraction,fraction,n_removed,runs,reachable_share,reachable_share_std,reachable_share_p025,reachable_share_p975,reach_loss,reach_loss_std,reach_loss_p025,reach_loss_p975,mean_m,mean_m_std,mean_m_p025,mean_m_p975,median_m,median_m_std,median_m_p025,median_m_p975,p90_m,p90_m_std,p90_m_p025,p90_m_p975,p95_m,p95_m_std,p95_m_p025,p95_m_p975
link,odbc,0.34,0.34011934011934014,969,1,0.19894415115309808,0.0,0.19894415115309808,0.19894415115309808,0.6724090025006947,0.0,0.6724090025006947,0.6724090025006947,1126.5942067039107,0.0,1126.5942067039107,1126.5942067039107,0.0,0.0,0.0,0.0,3601.9845000000005,0.0,3601.9845000000005,3601.9845000000005,7229.746,0.0,7229.746,7229.746
link,odbc,0.36,0.3601263601263601,1026,1,0.19672131147540983,0.0,0.19672131147540983,0.19672131147540983,0.6746318421783829,0.0,0.6746318421783829,0.6746318421783829,1135.245738700565,0.0,1135.245738700565,1135.245738700565,0.0,0.0,0.0,0.0,3610.041700000002,0.0,3610.041700000002,3610.041700000002,7229.746,0.0,7229.746,7229.746
link,odbc,0.38,0.38013338013338016,1083,1,0.1514309530425118,0.0,0.1514309530425118,0.1514309530425118,0.7199222006112809,0.0,0.7199222006112809,0.7199222006112809,246.40824770642206,0.0,246.40824770642206,246.40824770642206,0.0,0.0,0.0,0.0,1326.1070000000004,0.0,1326.1070000000004,1326.1070000000004,1547.9750000000006,0.0,1547.9750000000006,1547.9750000000006
link,odbc,0.4,0.40014040014040014,1140,1,0.1414281744929147,0.0,0.1414281744929147,0.1414281744929147,0.7299249791608781,0.0,0.7299249791608781,0.7299249791608781,158.40375049115917,0.0,158.40375049115917,158.40375049115917,0.0,0.0,0.0,0.0,869.9141999999994,0.0,869.9141999999994,869.9141999999994,1308.4790000000005,0.0,1308.4790000000005,1308.4790000000005
link,random,0.0,0.0,0,30,0.8713531536537927,0.0,0.8713531536537927,0.8713531536537927,0.0,0.0,0.0,0.0,1678.3658804209185,0.0,1678.3658804209185,1678.3658804209185,1813.335,2.312606865032684e-13,1813.3350000000003,1813.3350000000003,2515.2060000000006,4.625213730065368e-13,2515.206,2515.206,3245.752999999999,9.250427460130737e-13,3245.7529999999997,3245.7529999999997
link,random,0.02,0.020007020007020006,57,30,0.8576271186440677,0.011413322464550745,0.8284662406223952,0.8681717143651014,0.013726035009724942,0.011413322464550747,0.003181439288691354,0.042886913031397564,1780.2085370857649,92.93147706913693,1677.640342321834,2001.3154066169016,1938.32,115.49551951602213,1805.2069250000002,2215.700375,2852.283856666667,289.8993366492483,2548.700719999999,3410.3194249999997,3446.201621666662,218.05778248593933,3188.9726499999997,3927.207674999999
link,random,0.04,0.04001404001404001,114,30,0.8303695470964157,0.019520176107250403,0.7821339260905807,0.8565087524312309,0.04098360655737706,0.019520176107250407,0.014844401222561815,0.08921922756321198,1879.159194929387,129.89598141415817,1708.787129718114,2155.382448500719,2040.2530666666669,161.54274704626644,1812.97715,2358.6950999999995,3090.921363333334,335.63241766340695,2603.4406050000002,3770.0687749999993,3602.3408533333345,307.88233229354853,3039.6883250000005,4140.52855125
link,random,0.06,0.06002106002106002,171,30,0.8070482541446699,0.02330793543222079,0.7606626840789108,0.8437204779105307,0.06430489950912291,0.023307935432220792,0.027632675743262055,0.11069046957488189,1992.146291834694,185.839376422048,1742.3003029280774,2389.4998893979036,2161.7993666666666,198.70467693166188,1836.6701249999999,2500.681275,3291.5752266666664,430.87697730136045,2737.4241000000006,4159.824325,3860.8581799999965,443.0097776287506,3304.745645000001,4764.427847499994
link,random,0.08,0.08002808002808003,228,30,0.7673242567379827,0.03571442489877557,0.7046401778271743,0.8199013614893026,0.10402889691580999,0.03571442489877556,0.05145179216449012,0.16671297582661848,2135.8889822090305,331.7635174715554,1766.0557941784505,2915.879703306966,2327.1294833333336,437.4803441229751,1833.2065749999997,3483.071975,3658.0054733333336,632.4041253052645,2780.9294999999997,5175.175974999999,4164.190736666666,601.6471365895522,3457.454175,5579.181737499999
link,random,0.1,0.10003510003510004,285,30,0.7212466425859035,0.04092764388110421,0.6446443456515699,0.7873923312031119,0.15010651106788925,0.04092764388110421,0.08396082245068076,0.22670880800222282,2321.0167630106976,475.7134726779835,1834.2732080289452,3271.047822822318,2504.5557000000003,608.2444714952007,1875.2296875,3705.941174999998,4154.194410000001,810.2206588368877,3208.9274,6259.000687499999,4630.111956666665,929.9489759915547,3518.134953750001,6876.9773424999985
link,random,0.12,0.12004212004212005,342,30,0.6624988422710012,0.047354244675608614,0.5844540150041678,0.7583217560433454,0.2088543113827915,0.04735424467560861,0.11303139761044735,0.28689913864962485,2566.150190713655,627.5609678310988,1897.6021216980173,4363.59080414562,2699.332233333333,791.1188613648626,1986.5607875000003,4951.637399999999,4924.670963333335,1165.8312084482106,3356.1344000000004,7188.565625000012,5333.0299700000005,1172.902597970662,4010.19855,8274.900285
link,random,0.14,0.14004914004914004,399,30,0.5821246642585904,0.09916838378129249,0.39117810502917477,0.675340372325646,0.2892284893952024,0.0991683837812925,0.19601278132814673,0.4801750486246175,2511.5812249214828,739.1830378472981,1313.2648129365573,4111.211366834366,2575.1932666666667,838.2186653626385,1191.9014499999998,4282.493299999998,5005.014236666668,1460.0922113724703,2861.4976250000004,8039.504500000001,5665.835923333332,1581.8816277543744,3557.5084,8986.854452499996
