tpusb,connector_order,node_id,weight,selection,rep_snap_dist_m,node_x_hk80,node_y_hk80
241010,2,1505,0.3333333333333333,inside,54.37218593085988,837457.7102659763,820248.6836986871
241010,3,895,0.3333333333333333,inside,100.91362733271377,837377.2234064996,820123.9350824633
241011,1,1505,1.0,inside,88.80522522310113,837457.7102659763,820248.6836986871
241012,1,353,0.3333333333333333,nearest,46.58948455488896,837602.4272654149,820084.6420368637
241012,2,1143,0.3333333333333333,nearest,201.20799087635686,837363.9949303813,820117.8769524762
241012,3,396,0.3333333333333333,nearest,197.96960117833677,837580.7952071438,819915.2161309458
241013,1,1130,0.3333333333333333,inside,144.29197677496586,837251.5859910402,819701.0973374599
241013,2,1299,0.3333333333333333,inside,284.5015867876554,837171.4647491155,820119.3151365388
241013,3,1137,0.3333333333333333,inside,226.13852568031834,837250.7906413395,820057.0870787634
241014,1,893,0.3333333333333333,inside,23.55752174156039,837298.3968065567,820112.2581971277
241014,2,1137,0.3333333333333333,inside,68.27825706210822,837250.7906413395,820057.0870787634
241014,3,1382,0.3333333333333333,inside,58.50181534711733,837364.0673807313,820113.2150270947
241015,1,1133,0.5,inside,74.64422282088485,837375.3152066158,820010.1882767994
241015,2,497,0.5,inside,86.1380482065725,837377.2754859357,820116.0507761185
241016,1,354,0.3333333333333333,nearest,76.29931185017844,837583.1852795518,820039.2613169202
241016,2,884,0.3333333333333333,nearest,194.2423439741513,837329.546206484,820057.5352198913
241016,3,467,0.3333333333333333,nearest,162.31880440655408,837633.3942797025,819890.991932755
241017,1,1137,0.5,inside,216.4522538147632,837250.7906413395,820057.0870787634
241017,2,1138,0.5,inside,216.51978735003658,837306.817952862,820057.4007959352
241018,1,884,0.5,inside,97.40049805467028,837329.546206484,820057.5352198913
241018,2,1138,0.5,inside,101.97289970450531,837306.817952862,820057.4007959352
241019,1,1133,1.0,inside,80.07331116788284,837375.3152066158,820010.1882767994
241020,1,396,0.3333333333333333,nearest,125.79383456084986,837580.7952071438,819915.2161309458
241020,2,483,0.3333333333333333,nearest,233.62413049421983,837309.3969536044,819702.5960374394
241020,3,1138,0.3333333333333333,nearest,232.9515629728403,837306.817952862,820057.4007959352
241021,1,1129,0.3333333333333333,nearest,141.3335805418702,837364.8175467802,819704.4380602587
241021,2,1137,0.3333333333333333,nearest,231.37679192696243,837250.7906413395,820057.0870787634
241021,3,1133,0.3333333333333333,nearest,170.3525251848321,837375.3152066158,820010.1882767994
241022,1,1129,0.3333333333333333,nearest,68.4931969003807,837364.8175467802,819704.4380602587
241022,2,1131,0.3333333333333333,nearest,186.1080874222371,837584.2538180206,819710.4237533686
241022,3,1128,0.3333333333333333,nearest,182.58050652082713,837481.6640491538,819594.3544042733
241023,1,1129,0.5,inside,53.83817676997052,837364.8175467802,819704.4380602587
241023,2,483,0.5,inside,59.00944216233969,837309.3969536044,819702.5960374394
241024,1,1672,0.3333333333333333,inside,33.416129181004706,837309.4938130854,819641.2047612891
241024,2,1130,0.3333333333333333,inside,51.66553621965318,837251.5859910402,819701.0973374599
241024,3,483,0.3333333333333333,inside,52.39280364710991,837309.3969536044,819702.5960374394
241025,1,1672,0.3333333333333333,inside,35.619775016555444,837309.4938130854,819641.2047612891
241025,2,1129,0.3333333333333333,inside,52.873254231893554,837364.8175467802,819704.4380602587
241025,3,1575,0.3333333333333333,inside,44.96268844210546,837367.0387147978,819620.0916456738
241026,1,304,1.0,inside,140.275911032152,837204.8534679041,819317.2550356572
241028,1,472,0.3333333333333333,inside,37.953963008628044,837366.5555069685,819605.3860525488
241028,2,883,0.3333333333333333,inside,41.032058268829694,837302.6064468666,819559.2496011663
241028,3,885,0.3333333333333333,inside,38.74105122194942,837362.2010274458,819551.8123323309
241029,1,885,0.5,inside,42.82720975469881,837362.2010274458,819551.8123323309
241029,2,883,0.5,inside,47.21375000526131,837302.6064468666,819559.2496011663
241031,1,525,0.3333333333333333,nearest,97.38650594996855,837292.0918339381,819327.7249819305
241031,2,885,0.3333333333333333,nearest,140.6191146103197,837362.2010274458,819551.8123323309
241031,3,1684,0.3333333333333333,nearest,183.53602612697574,837468.6702380595,819346.9833403267
241032,1,469,0.5,inside,57.47526130408828,837249.7471455662,819290.8365453192
241032,2,304,0.5,inside,61.18804381398523,837204.8534679041,819317.2550356572
241033,1,883,0.3333333333333333,nearest,59.44060923867859,837302.6064468666,819559.2496011663
241033,2,304,0.3333333333333333,nearest,221.60411288504304,837204.8534679041,819317.2550356572
241033,3,1129,0.3333333333333333,nearest,205.894410895096,837364.8175467802,819704.4380602587
242001,1,890,0.3333333333333333,inside,91.0694618582093,837754.9021439992,820492.3257705118
242001,2,492,0.3333333333333333,inside,101.19572005327691,837613.1625124271,820563.6259881115
242001,3,1350,0.3333333333333333,inside,99.01514804457257,837735.8296927339,820407.4568516568
242002,1,1692,0.3333333333333333,inside,93.83580002057874,837858.4586153514,820447.3002367717
242002,2,1470,0.3333333333333333,inside,171.30545045830377,838075.7435675913,820345.1380491616
242002,3,1350,0.3333333333333333,inside,174.83968340881438,837735.8296927339,820407.4568516568
242003,1,1512,0.5,inside,75.5698513520197,837512.9855895931,820367.0523820147
242003,2,325,0.5,inside,86.38359892881813,837558.7524120838,820465.222466533
242004,1,888,0.5,inside,41.651099535108074,837717.5356471414,820369.5617058334
242004,2,322,0.5,inside,57.15377653335762,837726.1573731515,820387.1250423191
242005,1,888,0.3333333333333333,inside,24.954923079932822,837717.5356471414,820369.5617058334
242005,2,1516,0.3333333333333333,inside,77.32227580740451,837681.1950809953,820288.0022276947
242005,3,322,0.3333333333333333,inside,39.35912188610744,837726.1573731515,820387.1250423191
242006,1,1166,0.5,inside,55.96971640997562,837762.8057213905,820370.4961791415
242006,2,1156,0.5,inside,55.974210576438765,837717.0400252449,820271.0742013246
242007,1,1165,0.3333333333333333,inside,56.02948947714081,837787.1212596534,820359.1371614193
242007,2,1153,0.3333333333333333,inside,56.739559313754185,837765.2798587808,820248.5221274537
242007,3,1154,0.3333333333333333,inside,56.1000167663349,837741.2629561459,820259.7593982596
