zone_od_id,origin_tpusb,destination_tpusb,main_mode,sample_flow,expanded_hk_flow,road_factor,road_proxy_flow,kish_neff,origin_26PDD,origin_26PDD_name,destination_26PDD,destination_26PDD_name
642,227024,264015,6,1,291.7993,1.0,291.7993,1.0,6,Mong Kok,7,Sham Shui Po
643,227024,286014,6,1,78.7819,1.0,78.7819,1.0,6,Mong Kok,8,Kowloon City
644,228025,113003,6,1,90.7857,1.0,90.7857,1.0,5,Yau Ma Tei,1,Central & Western
645,228025,216001,6,1,90.8008,1.0,90.8008,1.0,5,Yau Ma Tei,5,Yau Ma Tei
646,228032,251002,5,1,101.9137,1.0,101.9137,1.0,5,Yau Ma Tei,5,Yau Ma Tei
647,228035,255015,6,1,125.1798,1.0,125.1798,1.0,5,Yau Ma Tei,7,Sham Shui Po
648,228037,212015,6,1,371.0602,1.0,371.0602,1.0,5,Yau Ma Tei,5,Yau Ma Tei
649,228037,221032,5,1,253.4375,1.0,253.4375,1.0,5,Yau Ma Tei,6,Mong Kok
650,229004,254010,6,1,573.9723,1.0,573.9723,1.0,6,Mong Kok,7,Sham Shui Po
651,229007,211008,6,1,130.8979,1.0,130.8979,1.0,6,Mong Kok,5,Yau Ma Tei
652,229007,237001,6,2,557.1476,1.0,557.1476,1.999920244145,6,Mong Kok,8,Kowloon City
653,229007,237003,5,3,2980.3298,1.0,2980.3298,2.920883744397,6,Mong Kok,8,Kowloon City
654,229007,255001,6,1,76.6407,1.0,76.6407,1.0,6,Mong Kok,7,Sham Shui Po
655,229007,255015,6,1,82.1552,1.0,82.1552,1.0,6,Mong Kok,7,Sham Shui Po
656,229012,241013,5,1,97.7968,1.0,97.7968,1.0,6,Mong Kok,8,Kowloon City
657,229012,242012,5,1,97.8769,1.0,97.8769,1.0,6,Mong Kok,8,Kowloon City
658,229012,242037,5,2,1034.112,1.0,1034.112,1.980484956192,6,Mong Kok,8,Kowloon City
659,229012,242041,6,1,328.3205,1.0,328.3205,1.0,6,Mong Kok,8,Kowloon City
660,229012,245013,6,1,191.49,1.0,191.49,1.0,6,Mong Kok,8,Kowloon City
661,229012,255014,6,1,73.4822,1.0,73.4822,1.0,6,Mong Kok,7,Sham Shui Po
662,229012,286014,1|6,2,161.7061,0.41435083511177323,67.0030575776679,1.990789756789,6,Mong Kok,8,Kowloon City
663,229013,211032,6,1,90.8008,1.0,90.8008,1.0,6,Mong Kok,5,Yau Ma Tei
664,229013,214010,6,1,107.9616,1.0,107.9616,1.0,6,Mong Kok,5,Yau Ma Tei
665,229013,226007,6,1,0.8923,1.0,0.8923,1.0,6,Mong Kok,5,Yau Ma Tei
666,229013,266018,6,2,556.1399,1.0,556.1399,1.999713177468,6,Mong Kok,7,Sham Shui Po
667,229018,265018,6,1,113.6812,1.0,113.6812,1.0,5,Yau Ma Tei,7,Sham Shui Po
668,229019,284020,6,1,71.1389,1.0,71.1389,1.0,5,Yau Ma Tei,10,Wong Tai Sin
