connector_od_id,zone_od_id,origin_tpusb,destination_tpusb,origin_node,destination_node,pair_weight,demand
7444,1163,247006,211028,313,1095,0.11111111111111108,25.789033333333325
7445,1163,247006,211028,1136,1098,0.11111111111111108,25.789033333333325
7446,1163,247006,211028,1136,1096,0.11111111111111108,25.789033333333325
7447,1163,247006,211028,1136,1095,0.11111111111111108,25.789033333333325
7448,1164,247006,211033,1139,1653,0.11111111111111108,14.27155555555555
7449,1164,247006,211033,1139,1102,0.11111111111111108,14.27155555555555
7450,1164,247006,211033,1139,1097,0.11111111111111108,14.27155555555555
7451,1164,247006,211033,313,1653,0.11111111111111108,14.27155555555555
7452,1164,247006,211033,313,1102,0.11111111111111108,14.27155555555555
7453,1164,247006,211033,313,1097,0.11111111111111108,14.27155555555555
7454,1164,247006,211033,1136,1653,0.11111111111111108,14.27155555555555
7455,1164,247006,211033,1136,1102,0.11111111111111108,14.27155555555555
7456,1164,247006,211033,1136,1097,0.11111111111111108,14.27155555555555
7457,1165,247006,237001,1139,1289,0.11111111111111108,82.05807777777775
7458,1165,247006,237001,1139,1518,0.11111111111111108,82.05807777777775
7459,1165,247006,237001,1139,1588,0.11111111111111108,82.05807777777775
7460,1165,247006,237001,313,1289,0.11111111111111108,82.05807777777775
7461,1165,247006,237001,313,1518,0.11111111111111108,82.05807777777775
7462,1165,247006,237001,313,1588,0.11111111111111108,82.05807777777775
7463,1165,247006,237001,1136,1289,0.11111111111111108,82.05807777777775
7464,1165,247006,237001,1136,1518,0.11111111111111108,82.05807777777775
7465,1165,247006,237001,1136,1588,0.11111111111111108,82.05807777777775
7466,1166,247006,237003,1139,902,0.16666666666666669,34.029900000000005
7467,1166,247006,237003,1139,463,0.16666666666666669,34.029900000000005
7468,1166,247006,237003,313,902,0.16666666666666669,34.029900000000005
7469,1166,247006,237003,313,463,0.16666666666666669,34.029900000000005
7470,1166,247006,237003,1136,902,0.16666666666666669,34.029900000000005
7471,1166,247006,237003,1136,463,0.16666666666666669,34.029900000000005
7472,1167,247006,242041,1139,486,0.11111111111111108,19.478188888888884
7473,1167,247006,242041,1139,426,0.11111111111111108,19.478188888888884
7474,1167,247006,242041,1139,489,0.11111111111111108,19.478188888888884
7475,1167,247006,242041,313,486,0.11111111111111108,19.478188888888884
7476,1167,247006,242041,313,426,0.11111111111111108,19.478188888888884
7477,1167,247006,242041,313,489,0.11111111111111108,19.478188888888884
7478,1167,247006,242041,1136,486,0.11111111111111108,19.478188888888884
7479,1167,247006,242041,1136,426,0.11111111111111108,19.478188888888884
7480,1167,247006,242041,1136,489,0.11111111111111108,19.478188888888884
7481,1168,247006,243043,1139,1077,0.11111111111111108,16.047377777777772
7482,1168,247006,243043,1139,1081,0.11111111111111108,16.047377777777772
7483,1168,247006,243043,1139,1695,0.11111111111111108,16.047377777777772
7484,1168,247006,243043,313,1077,0.11111111111111108,16.047377777777772
7485,1168,247006,243043,313,1081,0.11111111111111108,16.047377777777772
7486,1168,247006,243043,313,1695,0.11111111111111108,16.047377777777772
7487,1168,247006,243043,1136,1077,0.11111111111111108,16.047377777777772
7488,1168,247006,243043,1136,1081,0.11111111111111108,16.047377777777772
7489,1168,247006,243043,1136,1695,0.11111111111111108,16.047377777777772
7490,1169,247006,245008,1139,1076,0.3333333333333333,27.620366666666662
7491,1169,247006,245008,313,1076,0.3333333333333333,27.620366666666662
7492,1169,247006,245008,1136,1076,0.3333333333333333,27.620366666666662
7493,1170,247006,245018,1139,1223,0.11111111111111108,40.04402222222222
7494,1170,247006,245018,1139,1726,0.11111111111111108,40.04402222222222
7495,1170,247006,245018,1139,230,0.11111111111111108,40.04402222222222
7496,1170,247006,245018,313,1223,0.11111111111111108,40.04402222222222
7497,1170,247006,245018,313,1726,0.11111111111111108,40.04402222222222
7498,1170,247006,245018,313,230,0.11111111111111108,40.04402222222222
7499,1170,247006,245018,1136,1223,0.11111111111111108,40.04402222222222
7500,1170,247006,245018,1136,1726,0.11111111111111108,40.04402222222222
7501,1170,247006,245018,1136,230,0.11111111111111108,40.04402222222222
7502,1171,247006,246006,1139,1541,0.16666666666666669,116.68680000000002
7503,1171,247006,246006,1139,1661,0.16666666666666669,116.68680000000002
7504,1171,247006,246006,313,1541,0.16666666666666669,116.68680000000002
7505,1171,247006,246006,313,1661,0.16666666666666669,116.68680000000002
7506,1171,247006,246006,1136,1541,0.16666666666666669,116.68680000000002
7507,1171,247006,246006,1136,1661,0.16666666666666669,116.68680000000002
7508,1172,247006,246013,1139,1173,0.11111111111111108,328.75981111111105
7509,1172,247006,246013,1139,1179,0.11111111111111108,328.75981111111105
7510,1172,247006,246013,1139,350,0.11111111111111108,328.75981111111105
7511,1172,247006,246013,313,1173,0.11111111111111108,328.75981111111105
7512,1172,247006,246013,313,1179,0.11111111111111108,328.75981111111105
7513,1172,247006,246013,313,350,0.11111111111111108,328.75981111111105
7514,1172,247006,246013,1136,1173,0.11111111111111108,328.75981111111105
7515,1172,247006,246013,1136,1179,0.11111111111111108,328.75981111111105
7516,1172,247006,246013,1136,350,0.11111111111111108,328.75981111111105
7517,1173,247006,267017,1139,555,0.3333333333333333,119.45753333333332
7518,1173,247006,267017,313,555,0.3333333333333333,119.45753333333332
7519,1173,247006,267017,1136,555,0.3333333333333333,119.45753333333332
7520,1174,247006,272017,1139,1501,0.11111111111111108,14.831888888888884
7521,1174,247006,272017,1139,907,0.11111111111111108,14.831888888888884
7522,1174,247006,272017,1139,1188,0.11111111111111108,14.831888888888884
7523,1174,247006,272017,313,1501,0.11111111111111108,14.831888888888884
7524,1174,247006,272017,313,907,0.11111111111111108,14.831888888888884
7525,1174,247006,272017,313,1188,0.11111111111111108,14.831888888888884
7526,1174,247006,272017,1136,1501,0.11111111111111108,14.831888888888884
7527,1174,247006,272017,1136,907,0.11111111111111108,14.831888888888884
7528,1174,247006,272017,1136,1188,0.11111111111111108,14.831888888888884
7529,1175,247006,283025,1139,329,0.11111111111111108,63.0913111111111
7530,1175,247006,283025,1139,1196,0.11111111111111108,63.0913111111111
7531,1175,247006,283025,1139,337,0.11111111111111108,63.0913111111111
7532,1175,247006,283025,313,329,0.11111111111111108,63.0913111111111
7533,1175,247006,283025,313,1196,0.11111111111111108,63.0913111111111
7534,1175,247006,283025,313,337,0.11111111111111108,63.0913111111111
7535,1175,247006,283025,1136,329,0.11111111111111108,63.0913111111111
7536,1175,247006,283025,1136,1196,0.11111111111111108,63.0913111111111
7537,1175,247006,283025,1136,337,0.11111111111111108,63.0913111111111
7538,1176,247006,285016,1139,1183,0.16666666666666669,314.2680166666667
7539,1176,247006,285016,1139,1186,0.16666666666666669,314.2680166666667
